Composition,HV,Source
Co22.2Cr22.2Fe22.2Ni22.2Mo11.1,220,"Hsu C Y ,  Juan C C ,  Sheu T S , et al. Effect of Aluminum Content on Microstructure and Mechanical Properties of AlxCoCrFeMo0.5Ni High-Entropy Alloys[J]. JOM, 2013, 65(12):1840-1847."
Al10Co20Cr20Fe20Ni20Mo10,440,"Hsu C Y ,  Juan C C ,  Sheu T S , et al. Effect of Aluminum Content on Microstructure and Mechanical Properties of AlxCoCrFeMo0.5Ni High-Entropy Alloys[J]. JOM, 2013, 65(12):1840-1847."
Al20Co10Cr20Fe20Ni20Mo10,801,"Hsu C Y ,  Wang W R ,  Tang W Y , et al. Microstructure and Mechanical Properties of New AlCoxCrFeMo0.5Ni High‐Entropy Alloys[J]. Advanced Engineering Materials, 2010, 12(1-2):44-49."
Al20Co20Cr20Fe10Ni20Mo10,755,"A C Y H ,  B T S S ,  A J W Y , et al. Effect of iron content on wear behavior of AlCoCrFe x Mo 0.5 Ni high-entropy alloys[J]. Wear, 2010, 268( 5–6):653-659."
Al19.6Co19.6Cr19.6Fe11.8Ni19.6Mo9.8,754,"A C Y H ,  B T S S ,  A J W Y , et al. Effect of iron content on wear behavior of AlCoCrFe x Mo 0.5 Ni high-entropy alloys[J]. Wear, 2010, 268( 5–6):653-659."
Al20Co20Cr20Fe20Ni10Mo10,708,"Juan C C ,  Hsu C Y ,  Tsai C W , et al. On microstructure and mechanical performance of AlCoCrFeMo0.5Nix high-entropy alloys[J]. Intermetallics, 2013, 32:401-407."
Al16.7Co16.7Cr16.7Fe16.7Ni25Mo8.3,586,"Juan C C ,  Hsu C Y ,  Tsai C W , et al. On microstructure and mechanical performance of AlCoCrFeMo0.5Nix high-entropy alloys[J]. Intermetallics, 2013, 32:401-407."
Al15.4Co15.4Cr15.4Fe15.4Ni30.8Mo7.7,395,"Juan C C ,  Hsu C Y ,  Tsai C W , et al. On microstructure and mechanical performance of AlCoCrFeMo0.5Nix high-entropy alloys[J]. Intermetallics, 2013, 32:401-407."
Al16.7Co25Cr16.7Fe16.7Ni16.7Mo8.3,741,"Hsu C Y ,  Wang W R ,  Tang W Y , et al. Microstructure and Mechanical Properties of New AlCoxCrFeMo0.5Ni High‐Entropy Alloys[J]. Advanced Engineering Materials, 2010, 12(1-2):44-49."
Al15.4Co30.8Cr15.4Fe15.4Ni15.4Mo7.7,586,"Hsu C Y ,  Wang W R ,  Tang W Y , et al. Microstructure and Mechanical Properties of New AlCoxCrFeMo0.5Ni High‐Entropy Alloys[J]. Advanced Engineering Materials, 2010, 12(1-2):44-49."
