,Composition,As-cast/other,Single/MultiPhase,Temperature (Celcius),Yield Strength,bin_name
0,Al0.25MoNbTiV,1,S,25.0,1250.0,9
1,Al0.25NbTaTiV,1,S,25.0,1330.0,9
2,Al0.25NbTaTiZr,0,M,25.0,1745.0,9
3,Al0.25NbTaTiZr,0,M,1000.0,366.0,3
4,Al0.2MoTaTiV,1,S,25.0,1021.0,9
5,Al0.3HfNbTaTiZr,1,S,25.0,1188.0,9
6,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0,S,25.0,1965.0,9
7,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0,S,1000.0,166.0,1
8,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0,S,800.0,678.0,6
9,Al0.3NbTaTi1.4Zr1.3,0,M,25.0,1965.0,9
10,Al0.3NbTaTi1.4Zr1.3,0,M,1000.0,236.0,2
11,Al0.3NbTaTi1.4Zr1.3,0,M,800.0,362.0,3
12,Al0.4Hf0.6NbTaTiZr,0,S,25.0,1841.0,9
13,Al0.4Hf0.6NbTaTiZr,0,S,1000.0,298.0,2
14,Al0.4Hf0.6NbTaTiZr,0,S,800.0,796.0,7
15,Al0.4Hf0.6NbTaTiZr,0,S,1200.0,89.0,0
16,Al0.5CrNbTi2V0.5,0,M,25.0,1340.0,9
17,Al0.5CrNbTi2V0.5,1,S,25.0,1240.0,9
18,Al0.5CrNbTi2V0.5,0,M,1000.0,90.0,0
19,Al0.5CrNbTi2V0.5,0,M,800.0,445.0,4
20,Al0.5CrNbTi2V0.5,0,M,600.0,930.0,9
21,Al0.5HfNbTaTiZr,1,S,25.0,1302.0,9
22,Al0.5Mo0.5NbTa0.5TiZr,0,M,25.0,2350.0,9
23,Al0.5Mo0.5NbTa0.5TiZr,0,M,1000.0,579.0,5
24,Al0.5MoNbTiV,1,S,25.0,1625.0,9
25,Al0.5NbTa0.8Ti1.5V0.2Zr,0,M,25.0,2035.0,9
26,Al0.5NbTa0.8Ti1.5V0.2Zr,0,M,1000.0,220.0,2
27,Al0.5NbTa0.8Ti1.5V0.2Zr,0,M,800.0,796.0,7
28,Al0.5NbTaTiV,1,S,25.0,1012.0,9
29,Al0.6MoTaTiV,1,S,25.0,962.0,9
30,Al0.75HfNbTaTiZr,1,S,25.0,1415.0,9
31,Al0.75MoNbTiV,1,S,25.0,1260.0,9
32,Al1.5MoNbTiV,1,S,25.0,500.0,5
33,AlCr0.5NbTiV,0,S,25.0,1300.0,9
34,AlCr0.5NbTiV,0,S,1000.0,40.0,0
35,AlCr0.5NbTiV,0,S,800.0,640.0,6
36,AlCr0.5NbTiV,0,S,600.0,1005.0,9
37,AlCr1.5NbTiV,0,M,25.0,1700.0,9
38,AlCr1.5NbTiV,0,M,1000.0,75.0,0
39,AlCr1.5NbTiV,0,M,800.0,970.0,9
40,AlCr1.5NbTiV,0,M,600.0,1370.0,9
41,AlCrMoNbTi,0,M,25.0,1010.0,9
42,AlCrMoNbTi,0,M,1200.0,105.0,1
43,AlCrMoNbTi,0,M,1000.0,594.0,5
44,AlCrMoNbTi,0,M,800.0,860.0,8
45,AlCrMoNbTi,0,M,600.0,1060.0,9
46,AlCrMoNbTi,0,M,400.0,1080.0,9
47,AlCrMoNbTi,0,S,1200.0,150.0,1
48,AlCrMoNbTi,0,S,1000.0,550.0,5
49,AlCrMoNbTi,0,S,800.0,875.0,8
50,AlCrMoNbTi,0,S,600.0,930.0,9
51,AlCrMoTi,0,S,1200.0,100.0,1
52,AlCrMoTi,0,S,1000.0,375.0,3
53,AlCrMoTi,0,S,800.0,875.0,8
54,AlCrMoTi,0,S,600.0,1020.0,9
55,AlCrMoTi,0,S,400.0,1070.0,9
56,AlCrNbTiV,0,M,25.0,1550.0,9
57,AlCrNbTiV,0,M,1000.0,65.0,0
58,AlCrNbTiV,0,M,800.0,860.0,8
59,AlCrNbTiV,0,M,600.0,1015.0,9
60,AlHfNbTaTiZr,1,M,25.0,1489.0,9
61,AlMo0.5NbTa0.5TiZr,0,M,25.0,2197.0,9
62,AlMo0.5NbTa0.5TiZr,0,M,1000.0,745.0,7
63,AlMo0.5NbTa0.5TiZr,0,M,25.0,2000.0,9
64,AlMo0.5NbTa0.5TiZr,0,M,1000.0,745.0,7
65,AlMo0.5NbTa0.5TiZr,0,M,800.0,1597.0,9
66,AlMo0.5NbTa0.5TiZr,0,M,25.0,2000.0,9
67,AlMo0.5NbTa0.5TiZr,0,M,1200.0,250.0,2
68,AlMo0.5NbTa0.5TiZr,0,M,1000.0,745.0,7
69,AlMo0.5NbTa0.5TiZr,0,M,800.0,1597.0,9
70,AlMo0.5NbTa0.5TiZr,0,M,25.0,2000.0,9
71,AlMo0.5NbTa0.5TiZr,0,M,1200.0,250.0,2
72,AlMo0.5NbTa0.5TiZr,0,M,1000.0,745.0,7
