Composition,As-cast/other,Single/MultiPhase,Temperature (Celcius),Yield Strength
Al0.25MoNbTiV,1,S,25,1250
Al0.25NbTaTiV,1,S,25,1330
Al0.25NbTaTiZr,0,M,25,1745
Al0.25NbTaTiZr,0,M,1000,366
Al0.2MoTaTiV,1,S,25,1021
Al0.3HfNbTaTiZr,1,S,25,1188
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0,S,25,1965
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0,S,1000,166
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0,S,800,678
Al0.3NbTaTi1.4Zr1.3,0,M,25,1965
Al0.3NbTaTi1.4Zr1.3,0,M,1000,236
Al0.3NbTaTi1.4Zr1.3,0,M,800,362
Al0.4Hf0.6NbTaTiZr,0,S,25,1841
Al0.4Hf0.6NbTaTiZr,0,S,1000,298
Al0.4Hf0.6NbTaTiZr,0,S,800,796
Al0.4Hf0.6NbTaTiZr,0,S,1200,89
Al0.5CrNbTi2V0.5,0,M,25,1340
Al0.5CrNbTi2V0.5,1,S,25,1240
Al0.5CrNbTi2V0.5,0,M,1000,90
Al0.5CrNbTi2V0.5,0,M,800,445
Al0.5CrNbTi2V0.5,0,M,600,930
Al0.5HfNbTaTiZr,1,S,25,1302
Al0.5Mo0.5NbTa0.5TiZr,0,M,25,2350
Al0.5Mo0.5NbTa0.5TiZr,0,M,1000,579
Al0.5MoNbTiV,1,S,25,1625
Al0.5NbTa0.8Ti1.5V0.2Zr,0,M,25,2035
Al0.5NbTa0.8Ti1.5V0.2Zr,0,M,1000,220
Al0.5NbTa0.8Ti1.5V0.2Zr,0,M,800,796
Al0.5NbTaTiV,1,S,25,1012
Al0.6MoTaTiV,1,S,25,962
Al0.75HfNbTaTiZr,1,S,25,1415
Al0.75MoNbTiV,1,S,25,1260
Al1.5MoNbTiV,1,S,25,500
AlCr0.5NbTiV,0,S,25,1300
AlCr0.5NbTiV,0,S,1000,40
AlCr0.5NbTiV,0,S,800,640
AlCr0.5NbTiV,0,S,600,1005
AlCr1.5NbTiV,0,M,25,1700
AlCr1.5NbTiV,0,M,1000,75
AlCr1.5NbTiV,0,M,800,970
AlCr1.5NbTiV,0,M,600,1370
AlCrMoNbTi,0,M,25,1010
AlCrMoNbTi,0,M,1200,105
AlCrMoNbTi,0,M,1000,594
AlCrMoNbTi,0,M,800,860
AlCrMoNbTi,0,M,600,1060
AlCrMoNbTi,0,M,400,1080
AlCrMoNbTi,0,S,1200,150
AlCrMoNbTi,0,S,1000,550
AlCrMoNbTi,0,S,800,875
AlCrMoNbTi,0,S,600,930
AlCrMoTi,0,S,1200,100
AlCrMoTi,0,S,1000,375
AlCrMoTi,0,S,800,875
AlCrMoTi,0,S,600,1020
AlCrMoTi,0,S,400,1070
AlCrNbTiV,0,M,25,1550
AlCrNbTiV,0,M,1000,65
AlCrNbTiV,0,M,800,860
AlCrNbTiV,0,M,600,1015
AlHfNbTaTiZr,1,M,25,1489
AlMo0.5NbTa0.5TiZr,0,M,25,2197
AlMo0.5NbTa0.5TiZr,0,M,1000,745
AlMo0.5NbTa0.5TiZr,0,M,25,2000
AlMo0.5NbTa0.5TiZr,0,M,1000,745
AlMo0.5NbTa0.5TiZr,0,M,800,1597
AlMo0.5NbTa0.5TiZr,0,M,25,2000
AlMo0.5NbTa0.5TiZr,0,M,1200,250
AlMo0.5NbTa0.5TiZr,0,M,1000,745
AlMo0.5NbTa0.5TiZr,0,M,800,1597
AlMo0.5NbTa0.5TiZr,0,M,25,2000
AlMo0.5NbTa0.5TiZr,0,M,1200,250
AlMo0.5NbTa0.5TiZr,0,M,1000,745
AlMo0.5NbTa0.5TiZr,0,M,800,1597
AlMo0.5NbTa0.5TiZr,0,M,600,1870
AlMo0.5NbTa0.5TiZr0.5,0,S,25,1320
AlMo0.5NbTa0.5TiZr0.5,0,S,1000,935
AlMoNbTi,0,S,1200,200
AlMoNbTi,0,S,1000,540
AlMoNbTi,0,S,800,500
AlMoNbTi,0,S,600,520
AlMoNbTiV,1,S,25,1375
